Team,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,Avg Summer,Avg Winter
Guam,45,0,9,0,7,0,4,0,7,0,8,0,5,12.14285714,0
Philippines,40,0,18,0,22,0,21,0,17,0,11,1,13,20.28571429,0.166666667
Cayman Islands,13,0,9,0,4,0,8,0,6,1,7,2,5,7.428571429,0.5
Slovakia,0,67,98,64,132,79,84,114,67,107,65,115,63,72.71428571,91
Barbados,22,0,22,0,28,0,15,0,10,0,8,0,13,16.85714286,0
Ecuador,15,0,28,0,11,0,18,0,26,0,36,0,40,24.85714286,0
Guinea Bissau,0,0,3,0,3,0,3,0,3,0,4,0,5,3,0
Sierra Leone,15,0,19,0,3,0,2,0,3,0,2,0,4,6.857142857,0
Timor Leste,0,0,0,0,0,0,2,0,1,0,2,1,3,1.142857143,0.166666667
Dem. Rep. Congo,19,0,14,0,3,0,6,0,5,0,4,0,4,7.857142857,0
Gabon,5,0,9,0,6,0,5,0,4,0,21,0,6,8,0
Bahamas,18,0,36,0,39,0,28,0,33,0,29,0,38,31.57142857,0
San Marino,28,3,7,0,4,1,5,1,4,1,4,2,4,8,1.333333333
Thailand,64,0,58,0,68,2,51,1,53,0,43,3,58,56.42857143,1
Laos,7,0,5,0,3,0,5,0,4,0,3,0,5,4.571428571,0
Botswana,6,0,7,0,9,0,12,0,11,0,4,0,14,9,0
Refugee Olympic Athletes,0,0,0,0,0,0,0,0,0,0,0,0,12,1.714285714,0
North Korea,159,0,36,17,47,0,71,7,66,3,57,0,38,67.71428571,4.5
Mozambique,7,0,3,0,4,0,4,0,4,0,6,0,8,5.142857143,0
Solomon Islands,1,0,4,0,2,0,2,0,3,0,4,0,3,2.714285714,0
Cape Verde,0,0,3,0,2,0,3,0,2,0,3,0,5,2.571428571,0
Equatorial Guinea,8,0,8,0,4,0,2,0,3,0,2,0,1,4,0
Bolivia,29,0,9,0,5,0,11,0,7,0,5,0,12,11.14285714,0
Andorra,22,13,8,7,5,5,6,10,5,20,6,12,4,8,11.16666667
Antigua and Barbuda,18,0,19,0,4,0,5,0,5,0,4,0,9,9.142857143,0
Luxembourg,13,5,7,1,9,0,14,1,19,0,11,1,15,12.57142857,1.333333333
Zimbabwe,28,0,21,0,26,0,14,0,16,0,9,2,31,20.71428571,0.333333333
Grenada,5,0,5,0,3,0,5,0,9,0,8,0,6,5.857142857,0
Senegal,35,1,12,0,32,0,21,3,17,2,32,0,22,24.42857143,1
Hong Kong,66,0,32,0,46,5,42,3,47,3,55,1,47,47.85714286,2
Saint Lucia,0,0,8,0,5,0,2,0,4,0,4,0,5,4,0
Federated States of Micronesia,0,0,0,0,5,0,5,0,5,0,6,0,5,3.714285714,0
Myanmar,5,0,3,0,7,0,2,0,7,0,6,0,8,5.428571429,0
Afghanistan,0,0,2,0,0,0,5,0,4,0,6,0,3,2.857142857,0
Yugoslavia,60,0,0,0,0,0,0,0,0,0,0,0,0,8.571428571,0
Guinea,11,0,5,0,6,0,4,0,5,0,4,0,5,5.714285714,0
Taiwan,49,2,107,9,75,6,104,1,92,1,55,5,67,78.42857143,4
Sao Tome and Principe,0,0,2,0,2,0,2,0,4,0,2,0,3,2.142857143,0
Congo,10,0,5,0,5,0,5,0,5,0,7,0,10,6.714285714,0
Macedonia,0,0,16,3,15,4,14,5,7,4,4,6,6,8.857142857,3.666666667
Tonga,5,0,5,0,3,0,5,0,3,0,3,1,7,4.428571429,0.166666667
Montenegro,0,0,0,0,0,0,0,0,20,2,34,3,35,12.71428571,0.833333333
Gambia,8,0,12,0,2,0,3,0,3,0,2,0,4,4.857142857,0
Tanzania,9,0,7,0,4,0,9,0,9,0,6,0,7,7.285714286,0
Mistral Hojris,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Cook Islands,2,0,3,0,2,0,3,0,4,0,9,0,9,4.571428571,0
Albania,9,0,9,0,5,0,7,3,12,2,10,2,6,8.285714286,1.166666667
Relampago,0,0,0,0,0,0,0,0,1,0,0,0,0,0.142857143,0
Swaziland,13,0,6,0,6,0,3,0,4,0,3,0,2,5.285714286,0
Burundi,0,0,7,0,6,0,7,0,3,0,6,0,10,5.571428571,0
Aruba,5,0,3,0,5,0,4,0,2,0,4,0,7,4.285714286,0
Liechtenstein,26,25,2,19,2,18,1,12,2,5,4,5,3,5.714285714,14
